Track Name,Artist,Album,Genre,Popularity
Shiddat Title Track,Manan Bhardwaj,Shiddat,"desi pop, modern bollywood",58
golden hour,JVKE,this is what falling in love feels like (554Hz),"modern indie pop, pov: indie, singer-songwriter pop",74
NO,Meghan Trainor,Thank You (Deluxe Version),"hip pop, pop",72
Golden Hour - Violin Version,"ItsAMoney, Milan Quartet",Golden Hour (Violin Version),pop violin,0
Vaalu Kanuladaanaa,Unni Menon,Premikula Roju,filmi,52
Moon Gorgeous Meditation - Remastered,Marsy,Sweet-Sides,Unknown,1
Adharam Madhuram - Slowed Lofi,mr.krishnaprajapati,Adharam Madhuram (Slowed Lofi),"modern bhajan, punjabi lo-fi",0
紅蓮華,LiSA,LEO-NiNE,"anime, anime rock, j-pixie, j-pop",70
Akuma no Ko,Ai Higuchi,Akuma no Ko,japanese alternative pop,61
Lily,"Alan Walker, K-391, Emelie Hollow",Different World,electro house,69
"Master the Blaster (From ""Master"")","Anirudh Ravichander, Bjorn Surrao","Master the Blaster (From ""Master"")","desi hip hop, filmi, tamil hip hop",52
Arcade,Duncan Laurence,Small Town Boy (Track By Track),dutch pop,74
Love Story,Indila,Mini World,french pop,73
You and you,Darwin,You and you,Unknown,0
Remember Our Summer,Frogmonster,Remember Our Summer,Unknown,50
Param Sundari,"A.R. Rahman, Shreya Ghoshal",Mimi (Original Motion Picture Soundtrack),filmi,64
Can We Kiss Forever?,"Kina, Adriana Proenza",Can We Kiss Forever?,"sad lo-fi, slowed and reverb",69
Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",Into Your Arms (feat. Ava Max),indie pop rap,68
Safari,Serena,Safari,Unknown,58
Panama,Matteo,Panama,romanian pop,48
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",Icarus Falls,"pop, uk pop",80
Mockingbird (Sped Up),fenekot,Mockingbird,Unknown,0
Animals,Maroon 5,V (Asia Tour Edition),pop,69
Vintunnava Nestham,Ankit Tiwari,Nee Jathaga Nenundaali,"filmi, modern bollywood",21
this is what sadness feels like - shortened,JVKE,this is what sadness feels like (shortened),"modern indie pop, pov: indie, singer-songwriter pop",39
Breathless Hanuman Chalisa,Shankar Mahadevan,Breathless Hanuman Chalisa,filmi,0
My Heart is Beating,KK,Jalsa,"filmi, modern bollywood",61
7 rings,Ariana Grande,"thank u, next",pop,82
Saiyaara,"Sohail Sen, Mohit Chauhan, Tarannum Malik Jain, Kausar Munir",Ek Tha Tiger,"filmi, modern bollywood",66
Vaathi Raid,"Anirudh Ravichander, Arivu",Master (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",59
Animal,"Jim Yosef, RIELL",Animal,gaming edm,48
unravel,TK from Ling tosite sigure,Fantastic Magic,"anime, j-rock",68
Loka Nayakuda - Come Dance With Me,"Himesh Reshammiya, Vineet Singh",Dhasavathaaram (Telugu) (Original Motion Picture Soundtrack),"filmi, modern bollywood",32
Shivoham (Telugu),"Ajay-Atul, Ramajogayya Sastry, Haricharan",Adipurush (TELUGU),filmi,38
Unfinished Business (Acoustic),"NERIAH, JC Stewart",Unfinished Business (Acoustic),"alt z, singer-songwriter pop",48
Let Me Down Slowly (feat. Alessia Cara),"Alec Benjamin, Alessia Cara",Let Me Down Slowly (feat. Alessia Cara),"alt z, pop, pov: indie",64
Queen of Hearts,Starla Edney,Queen of Hearts,guam indie,50
Džanum,Teya Dora,Džanum,Unknown,0
Po Ve Po - The Pain of Love,"Anirudh Ravichander, Mohit Chauhan",3 (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",55
Gangu Leader,Anirudh Ravichander,Gang Leader (Original Motion Picture Soundtrack),"desi hip hop, filmi, tamil hip hop",51
Ninnila,"Thaman S, Armaan Malik, Shree Mani",Tholi Prema,"new beat, tamil pop",58
